Date,Hospital,Restaurant or PPE,Dollar Value
4/29/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",RB Grill + Elite Events Houston,141.29
4/29/2020,CHI St Lukes the Woodlands,RB Grill + Elite Events Houston,141.29
4/28/2020,Davam Urgent Care,RB Grill + Elite Events Houston,141.29
4/27/2020,Lyndon B Johnson Hospital,Burger-Chan,165
4/24/2020,Ben Taub Hospital Anesthesia Department,Burger-Chan,155
4/24/2020,Houston Methodist ICU,Burger-Chan,128.4
4/24/2020,Houston Methodist Molecular Lab,Burger-Chan,73.2
4/24/2020,University Hospital San Antonio,Duck Donuts,111.1
4/24/2020,Long Island Jewish Medical Center 7th floor COVID unit,Fairway Market Snacks,92.49
4/24/2020,DMC Sinai Grace Hospital Anesthesia dept,Nosh Pit Detroit,120
4/23/2020,Detroit Receving Hospital 4Q Surgical ICU,Nosh Pit Detroit,120
4/23/2020,Olive View-UCLA Medical Center,Ameci Pizza & Pasta,126.72
4/23/2020,Einstein Medical Center,Sorrento's Pizza,155.67
4/22/2020,Davam Urgent Care,Coffee Q,96.49
4/22/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Coffee Q,182.07
4/22/2020,Anaheim Regional Hospital ER,Piara Pizza,89.22
4/21/2020,Detroit Receving Hospital 4Q Surgical ICU,Nosh Pit Detroit,120
4/21/2020,Henry Ford Allegiance ICU T4,Chilango's Burrito Bar,148.4
4/21/2020,Henry Ford Allegiance ICU T6,Chilango's Burrito Bar,148.4
4/20/2020,Houston Methodist ICU,Burger-Chan,174
4/19/2020,Houston Methodist Molecular Lab,Burger-Chan,72.8
4/18/2020,Delivery,Elite Events,20
4/17/2020,Ben Taub Hospital Anesthesia Department,Chicken Kitchen,286.2
4/17/2020,CHI St Lukes- Baylor Respiratory Department,Chicken Kitchen,214.65
4/17/2020,Lyndon B Johnson Hospital,Chicken Kitchen,128.79
4/17/2020,Delivery,Elite Events,50
4/17/2020,DMC Sinai Grace Hospital Anesthesia dept,Nosh Pit Detroit,120
4/16/2020,Henry Ford West Bloomfield Hospital ICU,Leo's Coney Island,130.3
4/16/2020,Einstein Medical Center,Sorrento's Pizza,170
4/14/2020,Temple University Hospital ICU,Sorrento's Pizza,130
4/14/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Coffee Q,190.28
4/14/2020,Davam Urgent Care,Coffee Q,53.29
4/14/2020,Delivery,Elite Events,30
4/13/2020,Anaheim Regional Hospital ER,Banh Mi Che Cali,127.78
4/13/2020,Henry Ford Allegiance Anethesia,Chilango's Burrito Bar,116.3
4/12/2020,Lyndon B Johnson Hospital,Zori Bistro,210
4/11/2020,Ben Taub Hospital Anesthesia Department,Zori Bistro,280
4/11/2020,CHI St Lukes- Baylor Respiratory Department,Zori Bistro,126
4/11/2020,Delivery,Elite Events,45
4/10/2020,Houston Methodist ICU,Burger-Chan,174
4/10/2020,Houston Methodist Molecular Lab,Burger-Chan,72.8
4/9/2020,Delivery,Elite Events,20
4/9/2020,Olive View-UCLA Medical Center,Daniel's Taco,185.25
4/9/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",Moon's Donuts,69.68
4/9/2020,University of Michigan C.S. Mott Children's Hospital,New York Pizza Depot,200.51
4/9/2020,CHI St Lukes- Baylor Respiratory Department,Coffee Q,146.14
4/8/2020,Delivery,Elite Events,15
4/7/2020,Henry Ford Allegiance ICU T4,Chilango's Burrito Bar,151
4/7/2020,Henry Ford Allegiance ICU T6,Chilango's Burrito Bar,151
4/7/2020,Einstein Medical Center,Sorrento's Pizza,170
4/6/2020,Temple University Hospital ICU,Sorrento's Pizza,180
4/6/2020,Ben Taub Hospital Anesthesia Department,Chicken Kitchen,286
4/6/2020,Lyndon B Johnson Hospital,Chicken Kitchen,214.5
4/5/2020,DMC Sinai Grace Hospital Anesthesia dept,Nosh Pit Detroit,120
4/4/2020,Detroit Receving Hospital 4Q Surgical ICU,Nosh Pit Detroit,120
4/3/2020,University of Michigan C.S. Mott Children's Hospital,Nosh Pit Detroit,280
4/3/2020,Houston Methodist ICU,Coffee Q,246.66
4/3/2020,Houston Methodist Molecular Lab,Coffee Q,98.66
4/2/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Zori Bistro,175
4/2/2020,Delivery,Elite Events,40
4/2/2020,Olive View-UCLA Medical Center,Los Ruizenores,106.55
4/1/2020,Einstein Medical Center,Sorrento's Pizza,170
4/1/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Kin,175
4/1/2020,Davam Urgent Care,Kin,49
4/1/2020,Delivery,Elite Events,30
3/31/2020,Houston Methodist Molecular Lab,Burger-Chan,68.82
3/31/2020,Ben Taub Hospital Anesthesia Department,Burger-Chan,229.41
3/31/2020,Lyndon B Johnson Hospital,Burger-Chan,172.06
3/30/2020,CHI St Lukes- Baylor Respiratory Department,Chicken Kitchen,128.79
3/30/2020,Delivery,Elite Events,60
3/30/2020,Henry Ford West Bloomfield Hospital ICU,Los Tres Amigos,82.57
3/29/2020,Olive View-UCLA Medical Center,Winzza,98.55
3/29/2020,Detroit Receving Hospital 4Q Surgical ICU,Nosh Pit Detroit,120
3/28/2020,Henry Ford Allegiance Anethesia,Chilango's Burrito Bar,169
3/28/2020,DMC Sinai Grace Hospital Anesthesia dept,Nosh Pit Detroit,120
3/28/2020,University of Michigan C.S. Mott Children's Hospital,Nosh Pit Detroit,385
3/27/2020,Temple University Hospital ICU,Sorrento's Pizza,180
3/27/2020,Henry Ford West Bloomfield Hospital ICU,Twins Brunch,88.92
3/27/2020,Houston Methodist ICU,Coffee Q,243.56
3/26/2020,Delivery,Elite Events,15
3/26/2020,Anaheim Regional Hospital ER,El Pollo Fino,87.15
3/25/2020,Einstein Medical Center,Sorrento's Pizza,185
3/25/2020,Temple University Hospital ICU,Sorrento's Pizza,185
3/24/2020,Henry Ford Allegiance Anethesia,Chilango's Burrito Bar,112
3/24/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",Pizza Patron,62.71
3/23/2020,Olive View-UCLA Medical Center,Asian Tasty,105.67
3/23/2020,Houston Methodist Molecular Lab,Chicken Kitchen,85.86
3/22/2020,Lyndon B Johnson Hospital,Chicken Kitchen,214.65
3/22/2020,Delivery,Elite Events,30
3/22/2020,Ben Taub Hospital Anesthesia Department,Coffee Q,324.75
3/22/2020,Delivery,Elite Events,15
3/21/2020,Houston Methodist ICU,Chicken Kitchen,214.65
3/21/2020,CHI St Lukes- Baylor Respiratory Department,Coffee Q,146.14
3/21/2020,Delivery,Elite Events,30
3/21/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Burger Chan,156.48
3/20/2020,Davam Urgent Care,Burger Chan,43.82
3/20/2020,Delivery,Elite Events,30
